item_sku,product_name,product_category,supplier_name,Product Origin,order_date,arrival_date,supplier_lead_time_days,quantity_received,quantity_sold,items_spoiled,current_stock_level,base_price_php,Order Transaction ID,expiry_date,shelf life days,spoilage_sensitivity,base_price,cost_price,selling_price,daily_demand
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/5/2024,2,104,102,2,0,130,TXN-501415,7/19/2024,14,Medium,130,85,130,13
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/4/2024,1,72,69,3,0,245,TXN-501505,7/25/2024,21,Medium,245,185,245,8
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/4/2024,1,160,158,2,0,155,TXN-501415,8/3/2024,30,Low,155,110,155,20
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/4/2024,1,63,61,2,0,245,TXN-501505,7/25/2024,21,Medium,245,185,245,7
SKU-7702,Greek Yogurt 500g,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/5/2024,2,56,54,2,0,245,TXN-501505,7/26/2024,21,Medium,245,185,245,8
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/3/2024,7/5/2024,2,35,34,1,0,299,TXN-501851,7/15/2024,10,High,299,220,299,5
SKU-7704,Premium Berries 250g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/3/2024,7/4/2024,1,48,46,2,0,299,TXN-501851,7/14/2024,10,High,299,220,299,6
SKU-7701,Fresh Milk 1L,Dairy,Hacienda Dairy Corp,"Pasig City, Metro Manila",7/3/2024,7/5/2024,2,65,63,2,0,165,TXN-501505,7/19/2024,14,High,165,120,165,13
SKU-7703,Organic Salad Mix,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/3/2024,7/4/2024,1,88,77,11,0,180,TXN-501851,7/11/2024,7,High,180,130,180,11
SKU-7705,Chilled Fruit Juice 1L,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/4/2024,1,126,121,5,0,155,TXN-501415,8/3/2024,30,Low,155,110,139.5,18
SKU-7707,Local Calamansi Pack 500g,Produce,MetroGrown Agri-Hub,"Quezon City, Metro Manila",7/3/2024,7/5/2024,2,144,141,3,0,95,TXN-501851,7/19/2024,14,Medium,95,60,95,16
SKU-7708,Cold Brew Coffee 250ml,Beverages,Manila Liquid Bottlers Inc,"Valenzuela, Metro Manila",7/3/2024,7/5/2024,2,70,69,1,0,130,TXN-501415,7/19/2024,14,Medium,130,85,130,14
